epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,16.9262,0.85378,2.18141,0.2527,0.55427,1.03976,0.63324,0.64286,0.54304,0.29501,0.34979,0.35714,0.14548,0.0291,1.49784,7.22678,0.6557,1.86555,1.5292,0.000386152,0.000386152,0.000386152
28,17.3843,0.60407,2.19486,0.28077,0.51414,0.90355,0.63324,0.64286,0.54304,0.29501,0.34979,0.35714,0.14548,0.0291,1.49784,7.22678,0.6557,1.86555,1.5292,0.000395658,0.000395658,0.000395658
29,17.8893,0.90076,2.96594,0.46005,0.64429,0.9823,0.45774,0.5,0.39317,0.19605,0.25745,0.28571,0.10413,0.01993,1.66185,7.61209,0.6594,2.03517,1.63306,0.000404768,0.000404768,0.000404768
30,18.3712,1.08718,2.71234,0.30479,0.87303,1.35198,0.45774,0.5,0.39317,0.19605,0.25745,0.28571,0.10413,0.01993,1.66185,7.61209,0.6594,2.03517,1.63306,0.000413482,0.000413482,0.000413482
31,18.8921,1.0663,2.70633,0.30085,0.71403,1.07009,0.31304,0.65124,0.36415,0.1886,0.18096,0.28571,0.09251,0.01784,1.85683,8.00506,0.67733,2.0805,1.82351,0.0004218,0.0004218,0.0004218
32,19.3516,0.85755,2.42271,0.30871,0.67402,0.94578,0.31304,0.65124,0.36415,0.1886,0.18096,0.28571,0.09251,0.01784,1.85683,8.00506,0.67733,2.0805,1.82351,0.000429722,0.000429722,0.000429722
33,19.8508,0.89135,3.13891,0.25831,0.69264,1.00426,0.31522,0.64286,0.34496,0.17284,0.09366,0.21429,0.03478,0.01263,1.89753,8.26341,0.67568,2.15945,1.85046,0.000437248,0.000437248,0.000437248
34,20.3768,0.99235,3.78974,0.36253,0.67538,1.02502,0.31522,0.64286,0.34496,0.17284,0.09366,0.21429,0.03478,0.01263,1.89753,8.26341,0.67568,2.15945,1.85046,0.000444378,0.000444378,0.000444378
35,20.8774,0.9376,3.82731,0.28131,0.61385,1.12136,0.32954,0.57143,0.33488,0.20615,0.12223,0.21429,0.0488,0.00657,1.85322,8.55782,0.6865,2.06869,1.78683,0.000451112,0.000451112,0.000451112
36,21.3365,0.93305,2.99718,0.34324,0.79517,1.07571,0.32954,0.57143,0.33488,0.20615,0.12223,0.21429,0.0488,0.00657,1.85322,8.55782,0.6865,2.06869,1.78683,0.00045745,0.00045745,0.00045745
37,21.861,0.98306,3.67347,0.33955,0.71176,1.04365,0.48326,0.64286,0.44913,0.25152,0.26068,0.21429,0.09225,0.01378,1.7817,8.64151,0.67072,1.98054,1.73232,0.000463392,0.000463392,0.000463392
38,22.406,1.01161,2.87006,0.29072,0.61929,0.98546,0.48326,0.64286,0.44913,0.25152,0.26068,0.21429,0.09225,0.01378,1.7817,8.64151,0.67072,1.98054,1.73232,0.000468938,0.000468938,0.000468938
39,22.9291,0.96835,3.80438,0.45733,0.91669,1.11397,0.43177,0.42857,0.48192,0.28478,0.08525,0.07143,0.01129,0.00484,1.78138,8.7102,0.68879,2.02407,1.78511,0.000474088,0.000474088,0.000474088
40,23.3957,1.03176,2.59138,0.2521,0.85373,1.14934,0.43177,0.42857,0.48192,0.28478,0.08525,0.07143,0.01129,0.00484,1.78138,8.7102,0.68879,2.02407,1.78511,0.000478842,0.000478842,0.000478842
41,23.8992,0.90746,3.07555,0.2706,0.60654,0.98085,0.47784,0.42857,0.4357,0.27316,0.24543,0.07143,0.04326,0.01034,1.75299,8.77641,0.70368,2.23973,1.79602,0.0004832,0.0004832,0.0004832
42,24.3708,1.23508,2.20326,0.30527,1.07483,1.32836,0.47784,0.42857,0.4357,0.27316,0.24543,0.07143,0.04326,0.01034,1.75299,8.77641,0.70368,2.23973,1.79602,0.000487162,0.000487162,0.000487162
43,24.8721,0.87485,2.77317,0.34978,0.62804,1.06343,0.54356,0.42857,0.45599,0.28636,0.24264,0.07143,0.0404,0.00653,1.69771,8.79622,0.68024,2.35466,1.78131,0.000490728,0.000490728,0.000490728
44,25.3268,1.06059,2.56441,0.30104,0.72473,1.06133,0.54356,0.42857,0.45599,0.28636,0.24264,0.07143,0.0404,0.00653,1.69771,8.79622,0.68024,2.35466,1.78131,0.000493898,0.000493898,0.000493898
45,25.8346,0.81977,2.77561,0.31851,0.60682,0.94265,0.59653,0.42857,0.52553,0.33439,0.24976,0.07143,0.0588,0.01405,1.72397,8.71486,0.65769,2.32391,1.83463,0.000496672,0.000496672,0.000496672
46,26.305,0.85521,2.36502,0.34605,0.64343,1.03792,0.59653,0.42857,0.52553,0.33439,0.24976,0.07143,0.0588,0.01405,1.72397,8.71486,0.65769,2.32391,1.83463,0.00049905,0.00049905,0.00049905
47,26.8006,0.80312,3.04323,0.27628,0.66716,0.98321,0.6246,0.47689,0.49837,0.26367,0.54436,0.21429,0.17715,0.02539,1.79752,8.56745,0.63283,2.28723,1.92975,0.000501032,0.000501032,0.000501032
48,27.2667,0.88181,3.63779,0.34181,0.74729,1.11622,0.6246,0.47689,0.49837,0.26367,0.54436,0.21429,0.17715,0.02539,1.79752,8.56745,0.63283,2.28723,1.92975,0.000502618,0.000502618,0.000502618
49,27.8479,0.93451,2.27764,0.30247,0.6852,1.14931,0.62247,0.42857,0.50135,0.30325,0.36561,0.28571,0.18383,0.03869,1.79822,8.53881,0.61388,2.32765,1.84487,0.000503808,0.000503808,0.000503808
50,28.3033,0.82234,2.54569,0.3337,0.65568,1.05513,0.62247,0.42857,0.50135,0.30325,0.36561,0.28571,0.18383,0.03869,1.79822,8.53881,0.61388,2.32765,1.84487,0.000504602,0.000504602,0.000504602
51,28.8112,0.88656,2.56514,0.36364,0.69616,1.05931,0.48745,0.42857,0.538,0.3279,0.59667,0.21429,0.21588,0.03742,1.87994,8.65535,0.62999,2.31208,1.88306,0.000505,0.000505,0.000505
52,29.2928,1.01503,3.64684,0.48318,0.9323,1.13869,0.48745,0.42857,0.538,0.3279,0.59667,0.21429,0.21588,0.03742,1.87994,8.65535,0.62999,2.31208,1.88306,0.000505002,0.000505002,0.000505002
53,29.7556,0.69667,2.11628,0.28636,0.59813,0.96982,0.48745,0.42857,0.538,0.3279,0.59667,0.21429,0.21588,0.03742,1.87994,8.65535,0.62999,2.31208,1.88306,0.000504608,0.000504608,0.000504608
54,30.2652,0.79966,2.77357,0.33174,0.61467,1.01159,1,0.27989,0.49254,0.28011,0,0,0,0,1.96413,8.87427,0.62874,2.30982,1.91792,0.000503818,0.000503818,0.000503818
55,30.7188,1.03433,2.79275,0.31811,0.69673,1.0484,1,0.27989,0.49254,0.28011,0,0,0,0,1.96413,8.87427,0.62874,2.30982,1.91792,0.000502632,0.000502632,0.000502632
56,31.1838,0.94981,2.54039,0.328,0.9673,1.11657,1,0.27989,0.49254,0.28011,0,0,0,0,1.96413,8.87427,0.62874,2.30982,1.91792,0.00050105,0.00050105,0.00050105
57,31.6879,1.25193,3.94141,0.26448,0.96128,1.42667,0.49309,0.42857,0.45489,0.22496,0.24978,0.07143,0.03024,0.00605,1.92405,9.17396,0.61724,2.17822,1.94279,0.000499072,0.000499072,0.000499072
58,32.1339,0.87261,3.14661,0.30053,0.62584,1.15486,0.49309,0.42857,0.45489,0.22496,0.24978,0.07143,0.03024,0.00605,1.92405,9.17396,0.61724,2.17822,1.94279,0.000496698,0.000496698,0.000496698
59,32.5911,0.70307,2.80327,0.28905,0.64219,0.99306,0.49309,0.42857,0.45489,0.22496,0.24978,0.07143,0.03024,0.00605,1.92405,9.17396,0.61724,2.17822,1.94279,0.000493928,0.000493928,0.000493928
60,33.1141,1.11806,3.70888,0.4928,0.85553,1.30827,0.63071,0.35714,0.44285,0.23082,0.48268,0.14286,0.11812,0.01875,1.90022,8.93688,0.60465,2.34007,1.94414,0.000490762,0.000490762,0.000490762
61,33.5724,0.98781,3.14401,0.28802,0.62554,1.0445,0.63071,0.35714,0.44285,0.23082,0.48268,0.14286,0.11812,0.01875,1.90022,8.93688,0.60465,2.34007,1.94414,0.0004872,0.0004872,0.0004872
62,34.0275,1.01633,2.67765,0.34043,0.76714,1.10511,0.63071,0.35714,0.44285,0.23082,0.48268,0.14286,0.11812,0.01875,1.90022,8.93688,0.60465,2.34007,1.94414,0.000483242,0.000483242,0.000483242
63,34.5333,0.829,2.31953,0.2805,0.56605,1.04892,0.63055,0.35714,0.47307,0.25562,0.62562,0.14286,0.11291,0.03022,1.86131,8.55455,0.59441,2.27311,1.94987,0.000478888,0.000478888,0.000478888
64,35.0122,0.95813,3.25981,0.36172,0.75869,1.15771,0.63055,0.35714,0.47307,0.25562,0.62562,0.14286,0.11291,0.03022,1.86131,8.55455,0.59441,2.27311,1.94987,0.000474138,0.000474138,0.000474138
