epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,8609.3,0.70636,3.55476,0.29422,0.45015,1.11898,0.96755,0.97748,0.9905,0.88789,0.83487,0.79816,0.80061,0.64996,0.57798,2.18637,0.06177,0.29542,1.00073,0.007426,0.007426,0.007426
28,8988.28,0.70741,3.57631,0.29308,0.44938,1.11709,0.96763,0.97554,0.99036,0.88681,0.85111,0.80677,0.81617,0.65934,0.57509,2.12066,0.06157,0.29562,0.99876,0.007327,0.007327,0.007327
29,9347.27,0.71056,3.56832,0.2879,0.44736,1.11758,0.96754,0.97718,0.99097,0.88998,0.84857,0.8043,0.81556,0.66268,0.57055,2.11105,0.06272,0.29232,0.99168,0.007228,0.007228,0.007228
30,9663.8,0.70223,3.5296,0.28354,0.44532,1.1144,0.96872,0.97836,0.99077,0.89184,0.83946,0.8125,0.81586,0.66529,0.56397,2.11236,0.0595,0.28644,0.99135,0.007129,0.007129,0.007129
31,9980.56,0.69817,3.47536,0.28245,0.44096,1.1116,0.9702,0.97848,0.99057,0.89456,0.85119,0.79998,0.82175,0.6725,0.55678,2.05802,0.05878,0.28402,0.98196,0.00703,0.00703,0.00703
32,10296.6,0.69877,3.49306,0.28149,0.44382,1.11579,0.96876,0.9781,0.99069,0.89521,0.86292,0.8191,0.83949,0.68093,0.55705,1.99511,0.0615,0.28277,0.98092,0.006931,0.006931,0.006931
33,10613.7,0.69121,3.43483,0.27707,0.43926,1.10938,0.96931,0.9781,0.99067,0.89449,0.85688,0.81852,0.82987,0.67867,0.55446,2.00052,0.0577,0.28235,0.98148,0.006832,0.006832,0.006832
34,10930.2,0.68854,3.40855,0.27423,0.43553,1.10513,0.9697,0.97968,0.99071,0.89732,0.8604,0.82057,0.83921,0.68742,0.5494,1.96384,0.05779,0.28091,0.9775,0.006733,0.006733,0.006733
35,11248.1,0.68546,3.36705,0.27179,0.43171,1.10548,0.96982,0.97938,0.99081,0.89784,0.86029,0.823,0.84171,0.69161,0.54958,1.94615,0.05718,0.27862,0.97725,0.006634,0.006634,0.006634
36,11565.2,0.68,3.3619,0.27011,0.42992,1.10164,0.96955,0.97797,0.99053,0.89756,0.85357,0.82717,0.83991,0.69249,0.54673,1.94912,0.05595,0.27882,0.97695,0.006535,0.006535,0.006535
37,11882.3,0.67841,3.33229,0.26859,0.42579,1.10189,0.96831,0.97733,0.99066,0.89783,0.85665,0.82979,0.84134,0.69586,0.54734,1.93457,0.05424,0.27957,0.97657,0.006436,0.006436,0.006436
38,12199.4,0.6772,3.28918,0.26755,0.42555,1.10089,0.9684,0.97861,0.99065,0.89803,0.86049,0.82211,0.83899,0.69146,0.5438,1.92145,0.05385,0.27787,0.97542,0.006337,0.006337,0.006337
