epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,17.963,0.83395,2.01242,0.24808,0.56219,1.0092,0.57712,0.71429,0.57937,0.33888,0.28947,0.35714,0.14081,0.0281,1.426,6.86143,0.61668,1.49749,1.59798,0.000386152,0.000386152,0.000386152
28,18.456,0.65462,2.39863,0.28981,0.51285,0.90777,0.57712,0.71429,0.57937,0.33888,0.28947,0.35714,0.14081,0.0281,1.426,6.86143,0.61668,1.49749,1.59798,0.000395658,0.000395658,0.000395658
29,18.9936,0.90113,2.94459,0.45768,0.64471,0.98481,0.38449,0.64286,0.47511,0.29291,0.28329,0.21429,0.10271,0.02913,1.40258,7.11822,0.6608,1.58768,1.59503,0.000404768,0.000404768,0.000404768
30,19.4849,1.13833,2.76015,0.33229,0.88858,1.35923,0.38449,0.64286,0.47511,0.29291,0.28329,0.21429,0.10271,0.02913,1.40258,7.11822,0.6608,1.58768,1.59503,0.000413482,0.000413482,0.000413482
31,20.0493,0.99521,2.56367,0.31016,0.65972,1.04985,0.35494,0.66878,0.43889,0.29352,0.36616,0.14286,0.08993,0.02696,1.50331,7.48953,0.71433,1.58562,1.61001,0.0004218,0.0004218,0.0004218
32,20.5486,0.95222,2.28489,0.30532,0.68087,0.99926,0.35494,0.66878,0.43889,0.29352,0.36616,0.14286,0.08993,0.02696,1.50331,7.48953,0.71433,1.58562,1.61001,0.000429722,0.000429722,0.000429722
33,21.0851,0.99219,2.8285,0.23302,0.74325,1.06192,0.33929,0.66074,0.40467,0.26311,0.37895,0.14286,0.12,0.02935,1.57108,7.62147,0.73753,1.79186,1.5977,0.000437248,0.000437248,0.000437248
34,21.587,0.90031,3.79398,0.3556,0.67518,1.01539,0.33929,0.66074,0.40467,0.26311,0.37895,0.14286,0.12,0.02935,1.57108,7.62147,0.73753,1.79186,1.5977,0.000444378,0.000444378,0.000444378
35,22.1421,0.83793,4.02991,0.3043,0.77696,1.12533,0.4799,0.42857,0.45639,0.3068,0.91078,0.14286,0.17296,0.044,1.6187,7.6973,0.72963,1.76437,1.6592,0.000451112,0.000451112,0.000451112
36,22.6481,0.91857,2.984,0.34624,0.69727,1.05207,0.4799,0.42857,0.45639,0.3068,0.91078,0.14286,0.17296,0.044,1.6187,7.6973,0.72963,1.76437,1.6592,0.00045745,0.00045745,0.00045745
37,23.1707,0.91374,3.70467,0.34186,0.75241,1.02715,0.63703,0.35714,0.48477,0.32706,0.57757,0.14286,0.12724,0.05377,1.70568,7.70303,0.71502,1.83188,1.70277,0.000463392,0.000463392,0.000463392
38,23.6675,0.99838,2.83793,0.28887,0.60842,0.98168,0.63703,0.35714,0.48477,0.32706,0.57757,0.14286,0.12724,0.05377,1.70568,7.70303,0.71502,1.83188,1.70277,0.000468938,0.000468938,0.000468938
39,24.2125,0.87704,3.74887,0.4425,0.77752,1.08026,1,0.35472,0.51404,0.35603,0.55114,0.14286,0.12759,0.04116,1.78107,7.71241,0.73076,1.91589,1.74088,0.000474088,0.000474088,0.000474088
40,24.7204,0.98799,2.61562,0.23812,0.80441,1.12254,1,0.35472,0.51404,0.35603,0.55114,0.14286,0.12759,0.04116,1.78107,7.71241,0.73076,1.91589,1.74088,0.000478842,0.000478842,0.000478842
41,25.2466,0.90123,2.82887,0.27428,0.63422,0.99343,0.97821,0.35714,0.48342,0.34225,0.54708,0.14286,0.12803,0.04129,1.72073,7.96096,0.74595,2.08017,1.7556,0.0004832,0.0004832,0.0004832
42,25.7571,1.18998,2.47196,0.30055,1.10642,1.2858,0.97821,0.35714,0.48342,0.34225,0.54708,0.14286,0.12803,0.04129,1.72073,7.96096,0.74595,2.08017,1.7556,0.000487162,0.000487162,0.000487162
43,26.2891,0.92863,2.5378,0.35103,0.64696,1.10626,0.72752,0.28571,0.40635,0.27675,0.543,0.21429,0.2253,0.04771,1.86326,8.22322,0.77053,2.21008,1.89799,0.000490728,0.000490728,0.000490728
44,26.7726,0.95374,2.82422,0.30172,0.7217,1.0444,0.72752,0.28571,0.40635,0.27675,0.543,0.21429,0.2253,0.04771,1.86326,8.22322,0.77053,2.21008,1.89799,0.000493898,0.000493898,0.000493898
45,27.3536,0.76691,2.87661,0.32859,0.58748,0.95843,0.49654,0.28571,0.39054,0.26683,0.83053,0.14286,0.15188,0.04612,1.87079,8.27322,0.75674,2.59948,2.00998,0.000496672,0.000496672,0.000496672
46,27.8365,0.79287,2.512,0.36701,0.622,1.0488,0.49654,0.28571,0.39054,0.26683,0.83053,0.14286,0.15188,0.04612,1.87079,8.27322,0.75674,2.59948,2.00998,0.00049905,0.00049905,0.00049905
47,28.3451,0.81688,3.43856,0.26018,0.79045,0.99886,0.4011,0.35714,0.31681,0.16919,0.55505,0.14286,0.12928,0.03377,2.06828,8.28782,0.73354,2.70473,2.10267,0.000501032,0.000501032,0.000501032
48,28.8202,1.04878,3.83333,0.35002,0.7894,1.20707,0.4011,0.35714,0.31681,0.16919,0.55505,0.14286,0.12928,0.03377,2.06828,8.28782,0.73354,2.70473,2.10267,0.000502618,0.000502618,0.000502618
49,29.3391,1.03789,2.33438,0.31125,0.60685,1.2559,0.47034,0.28571,0.37954,0.19755,0.41586,0.20476,0.15265,0.04967,2.03643,8.07796,0.72704,2.8565,2.04665,0.000503808,0.000503808,0.000503808
50,29.8371,0.86126,2.79159,0.34658,0.66285,1.08064,0.47034,0.28571,0.37954,0.19755,0.41586,0.20476,0.15265,0.04967,2.03643,8.07796,0.72704,2.8565,2.04665,0.000504602,0.000504602,0.000504602
51,30.3327,0.91575,2.79543,0.37371,0.71403,1.13359,0.59564,0.21117,0.37887,0.2193,0.92056,0.14286,0.19157,0.0575,1.88221,8.28057,0.70105,2.93277,2.02356,0.000505,0.000505,0.000505
52,30.8229,1.02312,3.83989,0.47683,0.86073,1.1349,0.59564,0.21117,0.37887,0.2193,0.92056,0.14286,0.19157,0.0575,1.88221,8.28057,0.70105,2.93277,2.02356,0.000505002,0.000505002,0.000505002
53,31.3231,0.61261,2.1674,0.30226,0.51405,0.97084,0.59564,0.21117,0.37887,0.2193,0.92056,0.14286,0.19157,0.0575,1.88221,8.28057,0.70105,2.93277,2.02356,0.000504608,0.000504608,0.000504608
